1, 5, 3, 25
1, 5, 7, 25
1, 5, 9, 25
2, 4, 25
2, 6, 25
3, 5, 7, 25
3, 5, 9, 25
4, 8, 6, 25
4, 8, 10, 25
4, 8, 12, 25
5, 7, 11, 9
5, 7, 25, 9
6, 8, 10, 25
6, 8, 12, 25
7, 11, 9, 25
7, 11, 13, 25
7, 11, 15, 25
8, 10, 14, 12
8, 10, 25, 12
9, 11, 13, 25
9, 11, 15, 25
10, 14, 12, 25
10, 14, 16, 25
10, 14, 18, 25
11, 13, 17, 15
11, 13, 25, 15
12, 14, 16, 25
12, 14, 18, 25
13, 17, 15, 25
13, 17, 19, 25
13, 17, 21, 25
14, 16, 20, 18
14, 16, 25, 18
15, 17, 19, 25
15, 17, 21, 25
16, 20, 18, 25
16, 20, 22, 25
16, 20, 24, 25
17, 19, 25, 21
18, 20, 22, 25
18, 20, 24, 25
19, 23, 25
20, 22, 25, 24
21, 23, 25
