1, 5, 3, 28
1, 5, 7, 28
1, 5, 9, 28
2, 4, 28
2, 6, 28
3, 5, 7, 28
3, 5, 9, 28
4, 8, 6, 28
4, 8, 10, 28
4, 8, 12, 28
5, 7, 11, 9
5, 7, 28, 9
6, 8, 10, 28
6, 8, 12, 28
7, 11, 9, 28
7, 11, 13, 28
7, 11, 15, 28
8, 10, 14, 12
8, 10, 28, 12
9, 11, 13, 28
9, 11, 15, 28
10, 14, 12, 28
10, 14, 16, 28
10, 14, 18, 28
11, 13, 17, 15
11, 13, 28, 15
12, 14, 16, 28
12, 14, 18, 28
13, 17, 15, 28
13, 17, 19, 28
13, 17, 21, 28
14, 16, 20, 18
14, 16, 28, 18
15, 17, 19, 28
15, 17, 21, 28
16, 20, 18, 28
16, 20, 22, 28
16, 20, 24, 28
17, 19, 23, 21
17, 19, 28, 21
18, 20, 22, 28
18, 20, 24, 28
19, 23, 21, 28
19, 23, 25, 28
19, 23, 27, 28
20, 22, 28, 24
21, 23, 25, 28
21, 23, 27, 28
22, 26, 28
23, 25, 28, 27
24, 26, 28
