1, 11, 3, 28
1, 11, 19, 28
1, 11, 21, 28
2, 10, 28
2, 12, 4, 28
2, 12, 20, 28
2, 12, 22, 28
3, 11, 19, 28
3, 11, 21, 28
3, 13, 5, 28
3, 13, 21, 28
3, 13, 23, 28
4, 12, 20, 28
4, 12, 22, 28
4, 14, 6, 28
4, 14, 22, 28
4, 14, 24, 28
5, 13, 21, 28
5, 13, 23, 28
5, 15, 7, 28
5, 15, 23, 28
5, 15, 25, 28
6, 14, 22, 28
6, 14, 24, 28
6, 16, 8, 28
6, 16, 24, 28
6, 16, 26, 28
7, 15, 23, 28
7, 15, 25, 28
7, 17, 9, 28
7, 17, 25, 28
7, 17, 27, 28
8, 16, 24, 28
8, 16, 26, 28
8, 18, 28
9, 17, 25, 28
9, 17, 27, 28
10, 20, 28
11, 19, 28, 21
12, 20, 28, 22
13, 21, 28, 23
14, 22, 28, 24
15, 23, 28, 25
16, 24, 28, 26
17, 25, 28, 27
18, 26, 28
