1, 5, 3, 31
1, 5, 7, 31
1, 5, 9, 31
2, 4, 31
2, 6, 31
3, 5, 7, 31
3, 5, 9, 31
4, 8, 6, 31
4, 8, 10, 31
4, 8, 12, 31
5, 7, 11, 9
5, 7, 31, 9
6, 8, 10, 31
6, 8, 12, 31
7, 11, 9, 31
7, 11, 13, 31
7, 11, 15, 31
8, 10, 14, 12
8, 10, 31, 12
9, 11, 13, 31
9, 11, 15, 31
10, 14, 12, 31
10, 14, 16, 31
10, 14, 18, 31
11, 13, 17, 15
11, 13, 31, 15
12, 14, 16, 31
12, 14, 18, 31
13, 17, 15, 31
13, 17, 19, 31
13, 17, 21, 31
14, 16, 20, 18
14, 16, 31, 18
15, 17, 19, 31
15, 17, 21, 31
16, 20, 18, 31
16, 20, 22, 31
16, 20, 24, 31
17, 19, 23, 21
17, 19, 31, 21
18, 20, 22, 31
18, 20, 24, 31
19, 23, 21, 31
19, 23, 25, 31
19, 23, 27, 31
20, 22, 26, 24
20, 22, 31, 24
21, 23, 25, 31
21, 23, 27, 31
22, 26, 24, 31
22, 26, 28, 31
22, 26, 30, 31
23, 25, 31, 27
24, 26, 28, 31
24, 26, 30, 31
25, 29, 31
26, 28, 31, 30
27, 29, 31
